Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Mercedes-Benz,S-Class S400,2017,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,7.81,2996.0,2996.0,63.75
Nissan,Magnite Turbo CVT XV Premium Opt BSVI,2021,Comprehensive,Petrol,5,30615,First Owner,Automatic,2020,17.4,999.0,999.0,8.99
BMW,X1 sDrive 20d xLine,2018,Comprehensive,Diesel,5,24000,First Owner,Automatic,2018,20.68,1995.0,1995.0,23.75
Kia,Seltos GTX Plus,2019,Comprehensive,Petrol,5,18378,First Owner,Manual,2019,16.5,1353.0,1353.0,13.56
Skoda,Superb LK 1.8 TSI AT,2019,Comprehensive,Petrol,5,44900,First Owner,Automatic,2019,14.67,1798.0,1798.0,24.0
Honda,Jazz 1.2 S i VTEC,2017,Third Party insurance,Petrol,5,42000,First Owner,Manual,2017,18.7,1199.0,1199.0,5.45
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,36739,First Owner,Manual,2018,18.9,1197.0,1197.0,5.12
Hyundai,Creta 1.6 SX,2018,Comprehensive,Petrol,5,76000,First Owner,Manual,2018,15.8,1591.0,1591.0,9.3
Mercedes-Benz,S-Class S 350 CDI,2015,Comprehensive,Diesel,5,68000,Second Owner,Automatic,2015,13.5,2987.0,2987.0,42.0
Tata,Nexon 1.2 Revotron XZ Plus,2019,Comprehensive,Petrol,5,28783,First Owner,Manual,2019,17.0,1198.0,1198.0,8.02
Honda,City VX CVT,2020,Comprehensive,Petrol,5,40000,First Owner,Automatic,2020,17.4,1497.0,1497.0,10.95
Renault,Duster RXS,2022,Comprehensive,Petrol,5,17382,First Owner,Manual,2021,16.42,1498.0,1498.0,8.99
BMW,3 Series 320d Prestige,2014,Third Party insurance,Diesel,5,120000,First Owner,Automatic,2014,18.88,1995.0,1995.0,7.45
Hyundai,Venue SX Plus Turbo DCT,2022,Comprehensive,Petrol,5,17000,First Owner,Automatic,2021,18.15,998.0,998.0,10.95
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,26867,First Owner,Manual,2019,18.9,1197.0,1197.0,5.78
Hyundai,i20 Asta Opt,2022,Third Party insurance,Petrol,5,30000,First Owner,Manual,2022,21.0,1197.0,1197.0,8.95
BMW,3 Series 320d Luxury Line,2014,Third Party insurance,Diesel,5,150000,First Owner,Automatic,2014,18.88,1995.0,1995.0,8.5
BMW,3 Series 320d Luxury Line,2018,Comprehensive,Diesel,5,53000,First Owner,Automatic,2018,22.69,1995.0,1995.0,23.5
Ford,Ecosport 1.5 Petrol Titanium Plus BSIV,2019,Comprehensive,Petrol,5,40000,First Owner,Manual,2019,17.0,1497.0,1497.0,7.95
Jeep,Compass 1.4 Limited Plus,2020,Comprehensive,Petrol,5,48000,First Owner,Automatic,2020,14.1,1368.0,1368.0,18.95
MG,Gloster Savvy 6-Str,2021,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12.4,1996.0,1996.0,35.0
Maruti,Swift 1.2 VXi BSII,2010,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16.1,1197.0,1197.0,2.09
Honda,City i VTEC CVT VX,2015,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18.0,1497.0,1497.0,6.25
Audi,A6 35 TDI,2015,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18.53,1968.0,1968.0,20.0
Hyundai,Creta 1.6 VTVT S,2017,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15.29,1591.0,1591.0,8.35
Maruti,Baleno 1.2 Delta,2017,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21.4,1197.0,1197.0,5.03
Toyota,Yaris J,2018,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17.1,1496.0,1496.0,6.95
Toyota,Fortuner 4x2 AT,2015,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12.55,2982.0,2982.0,16.0
Hyundai,Creta SX Turbo BSVI,2020,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16.8,1353.0,1353.0,15.22
Jaguar,XE 2.0L Diesel Portfolio,2018,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13.5,1999.0,1999.0,26.95
Hyundai,i20 Sportz Plus BSIV,2019,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18.6,1197.0,1197.0,6.7
Jeep,Compass 2.0 Longitude Option BSIV,2018,Third Party insurance,Diesel,5,40000,First Owner,Manual,2018,17.1,1956.0,1956.0,10.75
BMW,X1 sDrive 20d xLine,2019,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20.68,1995.0,1995.0,25.5
Maruti,Swift ZXI Plus DT AMT BSVI,2022,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22.56,1197.0,1197.0,8.38
Hyundai,Creta 1.6 SX Automatic Diesel,2018,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17.6,1582.0,1582.0,10.9
Honda,Amaze S i-VTEC,2017,Third Party insurance,Petrol,5,100000,First Owner,Manual,2017,17.8,1198.0,1198.0,3.95
Tata,Tiago XZ Plus CNG BSVI,2022,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26.49,1199.0,1199.0,7.25
Volkswagen,Beetle 2.0,2010,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10.98,1984.0,1984.0,11.95
Honda,City ZX CVT,2023,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18.4,1498.0,1498.0,16.0
Maruti,Baleno 1.2 Alpha,2015,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21.4,1197.0,1197.0,5.45
Honda,CR-V 2.0 CVT,2019,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14.4,1997.0,1997.0,22.95
Kia,Seltos HTX Plus Diesel,2020,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20.8,1493.0,1493.0,13.51
Mercedes-Benz,C-Class Progressive C 200,2021,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11.9,1950.0,1950.0,40.75
Mahindra,Scorpio S11,2018,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15.4,2179.0,2179.0,14.5
Kia,Seltos GTX DCT,2020,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16.2,1353.0,1353.0,13.99
Toyota,Yaris J BSIV,2021,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17.1,1496.0,1496.0,6.95
BMW,5 Series 530i M Sport BSVI,2023,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14.82,1998.0,1998.0,65.0
Renault,KWID Climber 1.0 AMT Opt,2020,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22.0,999.0,999.0,5.15
Jeep,Compass 1.4 Sport BSVI,2021,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14.3,1368.0,1368.0,15.95
Maruti,Swift 1.2 VXi BSII,2011,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16.1,1197.0,1197.0,2.41
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,2016,Third Party insurance,Diesel,7,90000,Second Owner,Automatic,2016,11.3,2987.0,2987.0,32.5
Honda,Jazz V CVT,2017,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17.1,1199.0,1199.0,5.95
Hyundai,Grand i10 AT Asta,2014,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18.9,1197.0,1197.0,4.32
Maruti,Swift Dzire VDi,2009,Third Party insurance,Diesel,5,100000,First Owner,Manual,2009,19.3,1248.0,1248.0,2.0
Hyundai,i10 Sportz,2016,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20.36,1197.0,1197.0,3.45
Maruti,Swift VXI,2018,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22.0,1197.0,1197.0,5.5
Toyota,Camry 2.5 Hybrid,2017,Third Party insurance,Petrol,5,45000,First Owner,Automatic,2017,19.16,2494.0,2494.0,22.5
Hyundai,i20 Asta Opt Turbo DCT BSVI,2021,Comprehensive,Petrol,5,17041,First Owner,Automatic,2021,20.28,998.0,998.0,10.49
Mahindra,XUV500 W6 1.99 mHawk,2018,Comprehensive,Diesel,7,49000,First Owner,Manual,2018,16.0,1997.0,1997.0,9.25
Hyundai,Venue SX Turbo,2020,Comprehensive,Petrol,5,23588,First Owner,Manual,2020,18.27,998.0,998.0,9.2
